,descr,label,title
10,"
    The #1 bestselling author of The Future of the Mind traverses the frontiers of astrophysics, artificial intelligence, and technology to offer a stunning vision of man's future in space, from settling Mars to traveling to distant galaxies.

Formerly the domain of fiction, moving human civilization to the stars is increasingly becoming a scientific possibility--and a necessity. Whether in the near future due to climate change and the depletion of finite resources, or in the distant future due to catastrophic cosmological events, we must face the reality that humans will one day need to leave planet Earth to survive as a species. World-renowned physicist and futurist Michio Kaku explores in rich, intimate detail the process by which humanity may gradually move away from the planet and develop a sustainable civilization in outer space. He reveals how cutting-edge developments in robotics, nanotechnology, and biotechnology may allow us to terraform and build habitable cities on Mars. He then takes us beyond the solar system to nearby stars, which may soon be reached by nanoships traveling on laser beams at near the speed of light. Finally, he brings us beyond our galaxy, and even beyond our universe, to the possibility of immortality, showing us how humans may someday be able to leave our bodies entirely and laser port to new havens in space. With irrepressible enthusiasm and wonder, Dr. Kaku takes readers on a fascinating journey to a future in which humanity may finally fulfill its long-awaited destiny among the stars.
    ",futurism,"The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond Earth"
11,"
    We are at the cusp of a golden age in space science, as increasingly more entrepreneurs—Elon Musk, Richard Branson, Jeff Bezos—are seduced by the commercial potential of human access to space. But Beyond Earth does not offer another wide-eyed technology fantasy: instead, it is grounded not only in the human capacity for invention and the appeal of adventure, but also in the bureaucratic, political, and scientific realities that present obstacles to space travel—realities that have hampered NASA's efforts ever since the Challenger disaster. 
         In Beyond Earth, the authors offer groundbreaking research and argue persuasively that not Mars, but Titan—a moon of Saturn with a nitrogen atmosphere, a weather cycle, and an inexhaustible supply of cheap energy—offers the most realistic, and thrilling, prospect of life without support from Earth.
    ",futurism,Beyond Earth: Our Path to a New Home in the Planets
12,"In How Not to Die, Dr. Michael Greger, the internationally-renowned nutrition expert, physician, and founder of NutritionFacts.org, examines the fifteen top causes of premature death in America--heart disease, various cancers, diabetes, Parkinson's, high blood pressure, and more--and explains how nutritional and lifestyle interventions can sometimes trump prescription pills and other pharmaceutical and surgical approaches to help prevent and reverse these diseases, freeing us to live healthier lives. The simple truth is that most doctors are good at treating acute illnesses but bad at preventing chronic disease. The fifteen leading causes of death claim the lives of 1.6 million Americans annually. This doesn't have to be the case. By following Dr. Greger's advice, all of it backed up by strong scientific evidence, you will learn which foods to eat and which lifestyle changes to make to live longer. History of prostate cancer in your family? Put down that glass of milk and add flaxseed to your diet whenever you can. Have high blood pressure? Hibiscus tea can work better than a leading hypertensive drug-and without the side effects. Fighting off liver disease? Drinking coffee can reduce liver inflammation. Battling breast cancer? Consuming soy is associated with prolonged survival. Worried about heart disease (the number 1 killer in the United States)? Switch to a whole-food, plant-based diet, which has been repeatedly shown not just to prevent the disease but often stop it in its tracks. In addition to showing what to eat to help treat the top fifteen causes of death, How Not to Die includes Dr. Greger's Daily Dozen -a checklist of the twelve foods we should consume every day.Full of practical, actionable advice and surprising, cutting edge nutritional science, these doctor's orders are just what we need to live longer, healthier lives.",health,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease
13,"
    New York Times Bestseller

What happens when you eat an apple? The answer is vastly more complex than you imagine.

Every apple contains thousands of antioxidants whose names, beyond a few like vitamin C, are unfamiliar to us, and each of these powerful chemicals has the potential to play an important role in supporting our health. They impact thousands upon thousands of metabolic reactions inside the human body. But calculating the specific influence of each of these chemicals isn’t nearly sufficient to explain the effect of the apple as a whole. Because almost every chemical can affect every other chemical, there is an almost infinite number of possible biological consequences.

And that’s just from an apple.

Nutritional science, long stuck in a reductionist mindset, is at the cusp of a revolution. The traditional “gold standard” of nutrition research has been to study one chemical at a time in an attempt to determine its particular impact on the human body. These sorts of studies are helpful to food companies trying to prove there is a chemical in milk or pre-packaged dinners that is “good” for us, but they provide little insight into the complexity of what actually happens in our bodies or how those chemicals contribute to our health.

In The China Study, T. Colin Campbell (alongside his son, Thomas M. Campbell) revolutionized the way we think about our food with the evidence that a whole food, plant-based diet is the healthiest way to eat. Now, in Whole, he explains the science behind that evidence, the ways our current scientific paradigm ignores the fascinating complexity of the human body, and why, if we have such overwhelming evidence that everything we think we know about nutrition is wrong, our eating habits haven’t changed.

Whole is an eye-opening, paradigm-changing journey through cutting-edge thinking on nutrition, a scientific tour de force with powerful implications for our health and for our world.
    ",health,Whole: Rethinking the Science of Nutrition
14,"Do you find yourself dreading your next birthday? Get a new lease on life with Empowered Aging! Whether you are in your forties, fifties, sixties or beyond, ""Empowered Aging"" is written for you. Wellness expert and author Sharkie Zartman recruited thirteen renowned experts in their respective fields to write a valuable guide to aging with gusto despite living in a society obsessed by youth. You'll discover how to reframe aging and retirement, learn about new medical advances for aging joints, receive advice on caring for your body through better nutrition, and get tips for building muscle and improving balance. You'll also learn about a simple test to detect silent heart disease, holistic strategies for brain health, why integrative medicine is the missing link to aging successfully, and much more. Each chapter is written by a leading expert who offers advice on how to live a full, vibrant life at any age. It is a very readable book that is well-grounded and practical in the treatment of a range of topics related to aging. You'll learn from these renowned contributors: Sharkie Zartman, MS; Don Hurzeler; Helen Dennis; Betty A. Sproule, PhD and J. Michael Sproule, PhD; Jeanne Peters, RD; Thomas W. Storer, PhD; William Stetson, MD; Dominique M. Scott, DC; Victoria Dupuy; Robert A. Weil, DPM; Mylaine Riobe, MD; Brent Cortright, PhD; and Kathi Fry, MD. If you're ready to get started, open any chapter you like, take notes on what resonates with you, and start on a journey to live your best life NOW. It's your time to shine!",health,"Empowered Aging: Expert Advice on Staying Healthy, Vital and Active"
15,"Warm, engaging, and user-friendly, this powerful, practical guide to aging gracefully will be an indispensable resource for anyone looking to live their best life. Featuring more than a hundred easy-to-adopt ""small steps"" -- the foundation for ingrained habits that will yield longer, happier, and healthier years - this book will help enrich your life, from health and fitness to style, work and relationships. From checking in with your doctors to changing your fitness routine, cooling hot flashes, tackling social media and updating your wardrobe, transformation really does begin with one step - and Grufferman provides an easy formula for making and breaking the right habits. Packed with expert tips, myth busters, checklists, real-life anecdotes, and sage wisdom, this book offers a new approach to life after 40 that will inspire, rejuvenate, and energize.",health,"Love Your Age: The Small-Step Solution to a Better, Longer, Happier Life"
16,"
    Over two thousand years ago, Hippocrates said that all disease begins in the gut. Now backed by extensive scientific research, this idea still holds true today. In Healthy Gut, Healthy You, clinician and researcher Dr. Michael Ruscio shows how modern lifestyle changes and the widespread use of antibiotics have made our guts and the essential bacteria they contain more vulnerable than ever before.

The good news is that almost any ailment including depression, fatigue, weight gain, autoimmunity, insomnia, and hypothyroidism can be healed. The key is not just managing the symptoms but treating the root cause: the gut. Restoring this crucial part of your overall health improves the performance of your whole body from the inside out and it's easier than you think to get started.

You don't have to follow crazy diets or spend a fortune to get healthy. Instead, read this book to discover
how the gut works and its role in your body,
practical diet and lifestyle advice to support your gut health,
simple and actionable tools to repair your gut, and
an innovative, user-friendly plan to heal, support, and revitalize your gut.

A vibrant, healthy you begins with your gut start healing your body today!
    ",health,"Healthy Gut, Healthy You"
17,"Now in paperback, the simple, science-based, \“Paleo perfected\” (Vogue) diet that promotes effortless weight loss and peak health—written by two Harvard scientists. In Perfect Health Diet, Paul and Shou-Ching Jaminet explain in layman’s terms how anyone can regain health and lose weight by optimizing nutrition, detoxifying the diet, and sup­porting healthy immune function. They show how toxic, nutrient-poor diets sabotage health, and how on a healthy diet, diseases often spontaneously resolve. Perfect Health Diet makes weight loss effortless with a clear, balanced, and scientifically proven plan to change the way you eat—and feel—forever!",health,Paleo Perfected: A Revolution in Eating Well with 150 Kitchen-Tested Recipes
18,"Instant New York Times Bestseller
A simple, straightforward exploration of Transcendental Meditation and its benefits from world authority Bob Roth.

Oprah Winfrey and Jerry Seinfeld. Ray Dalio and Ellen DeGeneres. Gwyneth Paltrow and Howard Stern. Tom Hanks and Gisele Bündchen.

What do they have in common? The answer is a Transcendental Meditation teacher named Bob Roth, who has spent the past forty-five years helping many thousands of people access their innate creativity and power through this simple, nonreligious technique. Roth’s students range from titans of business and the arts to federal prisoners, from war-scarred veterans to overworked moms and dads.

Medical experts agree that the epidemic of stress is damaging our physical and emotional health at younger and younger ages. While there is no one single cure, the Transcendental Meditation technique is a simple practice that dramatically changes how we respond to stress and life’s challenges. With scientifically proven benefits— reduced stress and anxiety, and improved focus, sleep, resilience, creativity, and memory, to name a few—this five-thousand-year-old technique has a clear and direct impact on our very modern problems.

Once a skeptic, Roth trained under Maharishi Mahesh Yogi, the twentieth century’s foremost scientist of consciousness and meditation, and has since become one of the most experienced and sought-after meditation teachers in the world. In Strength in Stillness, Roth breaks down the science behind Transcendental Meditation in a new, accessible way. He highlights the three distinct types of meditation—Focused Attention, Open Monitoring, and Self-Transcending—and showcases the evidence that the third, Self-Transcending, or Transcendental Meditation, is a uniquely accessible, effective, and efficient way to reduce stress, access inner power, and build resilience.

Free of gimmicks, mystical verbiage, and obscure theory, Strength in Stillness offers a clear explanation for how Transcendental Meditation can calm the mind, body, and spirit.
",spiritual,Strength in Stillness: The Power of Transcendental Meditation
19,"
    It's no wonder that The Power of Now has sold over 2 million copies worldwide and has been translated into over 30 foreign languages. Much more than simple principles and platitudes, the book takes readers on an inspiring spiritual journey to find their true and deepest self and reach the ultimate in personal growth and spirituality: the discovery of truth and light. 

In the first chapter, Tolle introduces readers to enlightenment and its natural enemy, the mind. He awakens readers to their role as a creator of pain and shows them how to have a pain-free identity by living fully in the present. The journey is thrilling, and along the way, the author shows how to connect to the indestructible essence of our Being, ""the eternal, ever-present One Life beyond the myriad forms of life that are subject to birth and death."" 

Featuring a new preface by the author, this paperback shows that only after regaining awareness of Being, liberated from Mind and intensely in the Now, is there Enlightenment.
    ",spiritual,The Power of Now: A Guide to Spiritual Enlightenment
20,"
    For nearly two generations, Gia-fu Feng and Jane English's bestselling translation of the Tao Te Ching has been the standard for those seeking access to the wisdom of Taoist thought. Now Jane English and her long-time editor, Toinette Lippe, have revised and refreshed the translation so that it more faithfully reflects the Classical Chinese in which it was first written, taking into account changes in our own language and eliminating any lingering infelicities. They have retained the simple clarity of the original rendering of a sometimes seemingly obtuse spiritual text, a clarity that has made this version a classic in itself, selling over a million copies. 

Written most probably in the sixth century B.C. by Lao Tsu, this esoteric but infintely practical book has been translated into English more frequently than any other work except the Bible. Gia-fu Feng and Jane English's superb translation—the most accessible and authoritative modern English translation—offers the essence of each word and makes Lao Tsu's teaching immediate and alive. This edition includes an introduction and notes by the well-known writer and scholar of philosophy and comparative religion, Jacob Needleman.
    ",spiritual,Tao Te Ching
21,"
    Way of the Peaceful Warrior is based on the story of Dan Millman, a world champion athlete, who journeys into realms of romance and magic, light and darkness, body, mind, and spirit. Guided by a powerful old warrior named Socrates and tempted by an elusive, playful woman named Joy, Dan is led toward a final confrontation that will deliver or destroy him. Readers join Dan as he learns to live as a peaceful warrior. This international bestseller conveys piercing truths and humorous wisdom, speaking directly to the universal quest for happiness.
    ",spiritual,Way of the Peaceful Warrior: A Book That Changes Lives
22,"
    Marcus Aurelius was born in Rome in 121 AD and would become its Emperor from 161 to 180. Considered by Machiavelli as the last of the good Emperors, Marcus Aurelius would become one of the most important of the Stoic philosophers. Educated in oratory, he would turn aside from rhetoric to the study of the Stoic philosophy, of which he was the last distinguished representative. The ""Meditations,"" which he wrote in Greek, are among the most noteworthy expressions of this system, and exhibit it favorably on its practical side. The work is a series of twelve books that he intended for his own guidance and self-improvement, which picture with faithfulness the mind and character of this noblest of the Emperors. Simple in style and sincere in tone, they record for all time the height reached by pagan aspiration in its effort to solve the problem of conduct. In Marcus Aurelius’s practice of this philosophy along with his teaching he showed that “even in a palace life may be led well.” This edition is printed on premium acid-free paper, follows the highly-regarded translation of George Long, and includes an introduction by Alice Zimmern.
    ",spiritual,Meditations by Marcus Aurelius
23,"
    Nobel Peace Prize Laureates His Holiness the Dalai Lama and Archbishop Desmond Tutu have survived more than fifty years of exile and the soul-crushing violence of oppression. Despite their hardships—or, as they would say, because of them—they are two of the most joyful people on the planet.

In April 2015, Archbishop Tutu traveled to the Dalai Lama's home in Dharamsala, India, to celebrate His Holiness's eightieth birthday and to create what they hoped would be a gift for others. They looked back on their long lives to answer a single burning question: How do we find joy in the face of life's inevitable suffering?

They traded intimate stories, teased each other continually, and shared their spiritual practices. By the end of a week filled with laughter and punctuated with tears, these two global heroes had stared into the abyss and despair of our time and revealed how to live a life brimming with joy.

This book offers us a rare opportunity to experience their astonishing and unprecendented week together, from the first embrace to the final good-bye.

We get to listen as they explore the Nature of True Joy and confront each of the Obstacles of Joy—from fear, stress, and anger to grief, illness, and death. They then offer us the Eight Pillars of Joy, which provide the foundation for lasting happiness. Throughout, they include stories, wisdom, and science. Finally, they share their daily Joy Practices that anchor their own emotional and spiritual lives.

The Archbishop has never claimed sainthood, and the Dalai Lama considers himself a simple monk. In this unique collaboration, they offer us the reflection of real lives filled with pain and turmoil in the midst of which they have been able to discover a level of peace, of courage, and of joy to which we can all aspire in our own lives.
    ",spiritual,The Book of Joy: Lasting Happiness in a Changing World
